vision_left,vision_right,mean_rate_hz,left_rate_hz,right_rate_hz,difference_hz,action
0.0,0.0,0.0,0.0,0.0,0.0,idle
0.0,0.01,0.0,0.0,0.0,0.0,weak_move
0.0,0.1,0.0,0.0,0.0,0.0,weak_move
0.0,0.25,0.0,0.0,0.0,0.0,weak_move
0.0,0.4,0.0,0.0,0.0,0.0,weak_move
0.0,0.5,0.0,0.0,0.0,0.0,move_right
0.0,0.505,0.0,0.0,0.0,0.0,move_right
0.0,0.52,0.0,0.0,0.0,0.0,move_right
0.0,0.6,0.0,0.0,0.0,0.0,move_right
0.0,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_right
0.0,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.01,0.0,0.0,0.0,0.0,0.0,weak_move
0.01,0.01,0.0,0.0,0.0,0.0,weak_move
0.01,0.1,0.0,0.0,0.0,0.0,weak_move
0.01,0.25,0.0,0.0,0.0,0.0,weak_move
0.01,0.4,0.0,0.0,0.0,0.0,weak_move
0.01,0.5,0.0,0.0,0.0,0.0,move_right
0.01,0.505,0.0,0.0,0.0,0.0,move_right
0.01,0.52,0.0,0.0,0.0,0.0,move_right
0.01,0.6,0.0,0.0,0.0,0.0,move_right
0.01,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_right
0.01,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.1,0.0,0.0,0.0,0.0,0.0,weak_move
0.1,0.01,0.0,0.0,0.0,0.0,weak_move
0.1,0.1,0.0,0.0,0.0,0.0,weak_move
0.1,0.25,0.0,0.0,0.0,0.0,weak_move
0.1,0.4,0.0,0.0,0.0,0.0,weak_move
0.1,0.5,0.0,0.0,0.0,0.0,move_right
0.1,0.505,0.0,0.0,0.0,0.0,move_right
0.1,0.52,0.0,0.0,0.0,0.0,move_right
0.1,0.6,0.0,0.0,0.0,0.0,move_right
0.1,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_right
0.1,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.25,0.0,0.0,0.0,0.0,0.0,weak_move
0.25,0.01,0.0,0.0,0.0,0.0,weak_move
0.25,0.1,0.0,0.0,0.0,0.0,weak_move
0.25,0.25,0.0,0.0,0.0,0.0,weak_move
0.25,0.4,0.0,0.0,0.0,0.0,weak_move
0.25,0.5,0.0,0.0,0.0,0.0,move_right
0.25,0.505,0.0,0.0,0.0,0.0,move_right
0.25,0.52,0.0,0.0,0.0,0.0,move_right
0.25,0.6,0.0,0.0,0.0,0.0,move_right
0.25,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_right
0.25,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.4,0.0,0.0,0.0,0.0,0.0,weak_move
0.4,0.01,0.0,0.0,0.0,0.0,weak_move
0.4,0.1,0.0,0.0,0.0,0.0,weak_move
0.4,0.25,0.0,0.0,0.0,0.0,weak_move
0.4,0.4,0.0,0.0,0.0,0.0,weak_move
0.4,0.5,0.0,0.0,0.0,0.0,move_forward
0.4,0.505,0.0,0.0,0.0,0.0,move_forward
0.4,0.52,0.0,0.0,0.0,0.0,move_forward
0.4,0.6,0.0,0.0,0.0,0.0,move_forward
0.4,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_right
0.4,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.5,0.0,0.0,0.0,0.0,0.0,move_left
0.5,0.01,0.0,0.0,0.0,0.0,move_left
0.5,0.1,0.0,0.0,0.0,0.0,move_left
0.5,0.25,0.0,0.0,0.0,0.0,move_left
0.5,0.4,0.0,0.0,0.0,0.0,move_forward
0.5,0.5,0.0,0.0,0.0,0.0,move_forward
0.5,0.505,0.0,0.0,0.0,0.0,move_forward
0.5,0.52,0.0,0.0,0.0,0.0,move_forward
0.5,0.6,0.0,0.0,0.0,0.0,move_forward
0.5,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_right
0.5,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.505,0.0,0.0,0.0,0.0,0.0,move_left
0.505,0.01,0.0,0.0,0.0,0.0,move_left
0.505,0.1,0.0,0.0,0.0,0.0,move_left
0.505,0.25,0.0,0.0,0.0,0.0,move_left
0.505,0.4,0.0,0.0,0.0,0.0,move_forward
0.505,0.5,0.0,0.0,0.0,0.0,move_forward
0.505,0.505,0.0,0.0,0.0,0.0,move_forward
0.505,0.52,0.0,0.0,0.0,0.0,move_forward
0.505,0.6,0.0,0.0,0.0,0.0,move_forward
0.505,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_right
0.505,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.52,0.0,0.0,0.0,0.0,0.0,move_left
0.52,0.01,0.0,0.0,0.0,0.0,move_left
0.52,0.1,0.0,0.0,0.0,0.0,move_left
0.52,0.25,0.0,0.0,0.0,0.0,move_left
0.52,0.4,0.0,0.0,0.0,0.0,move_forward
0.52,0.5,0.0,0.0,0.0,0.0,move_forward
0.52,0.505,0.0,0.0,0.0,0.0,move_forward
0.52,0.52,0.0,0.0,0.0,0.0,move_forward
0.52,0.6,0.0,0.0,0.0,0.0,move_forward
0.52,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_right
0.52,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.6,0.0,0.0,0.0,0.0,0.0,move_left
0.6,0.01,0.0,0.0,0.0,0.0,move_left
0.6,0.1,0.0,0.0,0.0,0.0,move_left
0.6,0.25,0.0,0.0,0.0,0.0,move_left
0.6,0.4,0.0,0.0,0.0,0.0,move_forward
0.6,0.5,0.0,0.0,0.0,0.0,move_forward
0.6,0.505,0.0,0.0,0.0,0.0,move_forward
0.6,0.52,0.0,0.0,0.0,0.0,move_forward
0.6,0.6,0.0,0.0,0.0,0.0,move_forward
0.6,0.75,24.874686716791985,24.34017595307918,24.501907587961004,-0.16173163488182496,move_forward
0.6,1.0,39.41102756892231,38.29074151654797,39.0843577787198,-0.793616262171831,move_right
0.75,0.0,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_left
0.75,0.01,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_left
0.75,0.1,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_left
0.75,0.25,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_left
0.75,0.4,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_left
0.75,0.5,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_left
0.75,0.505,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_left
0.75,0.52,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_left
0.75,0.6,20.92731829573935,20.821114369501466,20.050869012293347,0.7702453572081183,move_forward
0.75,0.75,29.051796157059318,28.320067029744447,28.995337007206448,-0.6752699774620012,move_forward
0.75,1.0,38.868003341687555,37.24340175953079,38.91479440440865,-1.6713926448778622,move_right
1.0,0.0,33.333333333333336,33.76623376623377,31.114879186095806,2.651354580137962,move_left
1.0,0.01,33.333333333333336,33.76623376623377,31.114879186095806,2.651354580137962,move_left
1.0,0.1,33.333333333333336,33.76623376623377,31.114879186095806,2.651354580137962,move_left
1.0,0.25,33.333333333333336,33.76623376623377,31.114879186095806,2.651354580137962,move_left
1.0,0.4,33.333333333333336,33.76623376623377,31.114879186095806,2.651354580137962,move_left
1.0,0.5,33.41687552213868,33.85002094679514,31.199660873251375,2.650360073543766,move_left
1.0,0.505,33.41687552213868,33.85002094679514,31.199660873251375,2.650360073543766,move_left
1.0,0.52,33.41687552213868,33.85002094679514,31.199660873251375,2.650360073543766,move_left
1.0,0.6,33.375104427736005,33.85002094679514,31.114879186095806,2.735141760699335,move_left
1.0,0.75,32.89473684210526,33.556765814830335,30.436625688851212,3.1201401259791233,move_left
1.0,1.0,42.021720969089394,41.22329283619606,41.20389995760916,0.019392878586899087,move_forward
